subject;date;session;block;trials_count;session_type;seq_type;set_num;seq_num;pos_1;pos_2;pos_2_cons;pos_2_inc;RSI;distance;trial_stage
friede;24-01;1;4;58;srt;gram;5;2;loc_3;loc_6;;;1.0;5812.201498947385;RSI_2
friede;24-01;1;4;58;srt;gram;5;2;loc_3;loc_6;;;1.0;870.4480308508861;RT_2
friede;13-12;1;1;3;srt;gram;5;1;loc_1;loc_5;;;1.0;9707.571684689327;RSI_1
friede;13-12;1;1;3;srt;gram;5;1;loc_1;loc_5;;;1.0;8344.313860148632;RT_1
friede;13-12;1;1;3;srt;gram;5;1;loc_1;loc_5;;;1.0;13936.71979201032;RSI_2
friede;13-12;1;1;3;srt;gram;5;1;loc_1;loc_5;;;1.0;6097.856911299372;RT_2
friede;21-01;3;1;4;pdp;gram;4;3;loc_1;loc_2;;;1.0;8227.978386476932;RSI_1
friede;21-01;3;1;4;pdp;gram;4;3;loc_1;loc_2;;;1.0;7901.847878566719;RT_1
friede;21-01;3;1;4;pdp;gram;4;3;loc_1;loc_2;;;1.0;8850.18799685703;RSI_2
friede;21-01;3;1;4;pdp;gram;4;3;loc_1;loc_2;;;1.0;8556.002416045416;RT_2
friede;25-01;2;7;26;srt;gram;5;2;loc_3;loc_6;;;1.0;2686.5236972088474;RSI_1
friede;25-01;2;7;26;srt;gram;5;2;loc_3;loc_6;;;1.0;3695.484806433733;RT_1
friede;25-01;2;7;26;srt;gram;5;2;loc_3;loc_6;;;1.0;3330.5166098821423;RSI_2
friede;25-01;2;7;26;srt;gram;5;2;loc_3;loc_6;;;1.0;511.837248348065;RT_2
friede;21-01;3;5;36;pdp;exclu;4;2;loc_5;;loc_6;loc_2;1.0;8928.01040265758;RSI_1
friede;21-01;3;5;36;pdp;exclu;4;2;loc_5;;loc_6;loc_2;1.0;4192.338397251672;RT_1
friede;21-01;3;5;36;pdp;exclu;4;2;loc_5;;loc_6;loc_2;1.0;4698.80287292051;RSI_2
friede;21-01;3;5;36;pdp;exclu;4;2;loc_5;;loc_6;loc_2;1.0;746.0071916545916;RT_2
friede;21-01;3;5;79;pdp;exclu;4;1;loc_4;;loc_3;loc_6;1.0;4238.578965633335;RSI_1
friede;21-01;3;5;79;pdp;exclu;4;1;loc_4;;loc_3;loc_6;1.0;224.20845202272224;RT_1
friede;21-01;3;5;79;pdp;exclu;4;1;loc_4;;loc_3;loc_6;1.0;3352.0832476438113;RSI_2
friede;21-01;3;5;79;pdp;exclu;4;1;loc_4;;loc_3;loc_6;1.0;4539.538700128632;RT_2
friede;22-12;3;5;79;pdp;inclu;6;3;loc_6;;loc_4;loc_1;0.1;4.61823263858103;RSI_1
friede;22-12;3;5;79;pdp;inclu;6;3;loc_6;;loc_4;loc_1;0.1;2014.432886760177;RT_1
friede;22-12;3;5;79;pdp;inclu;6;3;loc_6;;loc_4;loc_1;0.1;132.0843315956084;RSI_2
friede;22-12;3;5;79;pdp;inclu;6;3;loc_6;;loc_4;loc_1;0.1;4805.8776825354635;RT_2
friede;29-11;3;1;4;pdp;gram;3;3;loc_2;loc_5;;;0.1;156.5842925696205;RSI_1
friede;29-11;3;1;4;pdp;gram;3;3;loc_2;loc_5;;;0.1;1850.1072116578557;RT_1
friede;29-11;3;1;4;pdp;gram;3;3;loc_2;loc_5;;;0.1;935.9259783081542;RSI_2
friede;29-11;3;1;4;pdp;gram;3;3;loc_2;loc_5;;;0.1;4874.564056493752;RT_2
friede;29-11;3;5;82;pdp;inclu;3;2;loc_6;;loc_3;loc_1;0.1;;RSI_1
friede;29-11;3;5;82;pdp;inclu;3;2;loc_6;;loc_3;loc_1;0.1;;RT_1
friede;29-11;3;5;82;pdp;inclu;3;2;loc_6;;loc_3;loc_1;0.1;217.96951846890806;RSI_2
friede;29-11;3;5;82;pdp;inclu;3;2;loc_6;;loc_3;loc_1;0.1;4528.410923392193;RT_2
friede;11-12;3;1;53;pdp;gram;4;3;loc_1;loc_2;;;1.0;11020.136264624496;RSI_1
